image_path,caption
combined/eval/normal/r1148801et.png,there is a street light that is on the side of a bridge
combined/eval/normal/780.png,there is a blue floor in a large building with lots of windows
combined/eval/normal/r09245347t.png,this is an image of a church with stained glass windows
combined/eval/normal/r13907965t.png,there is a group of people walking on a bridge with statues
combined/eval/normal/r09670876t.png,there is a large white building with a tall tower in the background
combined/eval/normal/r08788547t.png,there is a chandelier in the middle of a room with red curtains
combined/eval/normal/ssci_174.PNG,there is a man that is standing in front of a building
combined/eval/normal/ssci_221.PNG,there are many boats that are sitting on the water
combined/eval/normal/778.png,there is a tennis court with blue chairs and a tennis court in the background
combined/eval/normal/r18791531t.png,there is a car that is parked on the side of a snowy road
combined/eval/normal/r0773471dt.png,there is a helicopter that is flying over a field of grass
combined/eval/normal/ssci_17.JPG,there is a man that is sitting on a bench in the grass
combined/eval/normal/r12946364t.png,there is a statue of a man riding a horse on top of a building
combined/eval/normal/r077507cat.png,there are a lot of people that are standing in the street
combined/eval/normal/r096982ddt.png,there is a horse that is standing in the grass by a fence
combined/eval/normal/493.png,there is a teddy bear sitting next to a bunch of grapes and other items
combined/eval/normal/ssci_21.JPG,there is a statue in front of a building with a clock on it
combined/eval/normal/r08873591t.png,there is a close up picture of some tall grass in a field
combined/eval/normal/669.png,there is a bowling alley with bowling pins and bowling balls
combined/eval/normal/r10940798t.png,there is a man that is sitting on a bench by the water
combined/eval/normal/r03193652t.png,there are many red tulips that are blooming in the garden
combined/eval/normal/r150058a4t.png,there is a large building with a clock on the side of it
combined/eval/normal/r113402d4t.png,there is a small cabin in the middle of a field with mountains in the background
combined/eval/normal/r16422663t.png,there is a statue of a woman holding a spear in her hand
combined/eval/normal/547.png,there is an open book sitting on top of a desk next to a phone
combined/eval/normal/r0603031et.png,this is an image of a nativity scene in a church
combined/eval/normal/r10893508t.png,there are two people that are standing in the park with a kite
combined/eval/normal/55.png,there is a small refrigerator in the corner of a cabinet
combined/eval/normal/r19183258t.png,there is a man that is standing on a snowboard in the snow
combined/eval/normal/r127608abt.png,there is a chandelier hanging from the ceiling in a fancy room
combined/eval/normal/r084889d5t.png,there is a large field of grass with a barn in the distance
combined/eval/normal/r125034a9t.png,there are a lot of people standing in line at a carnival
combined/eval/normal/r09445479t.png,there is a white building with shutters and stairs in the snow
combined/eval/normal/r08996953t.png,there is a small cabin sitting on the side of a mountain
combined/eval/normal/r0150031ft.png,some people are walking around in front of a building covered in ivy
combined/eval/normal/ssci_60.JPG,this is an image of a model of a building in a museum
combined/eval/normal/r1372056ct.png,there is a large body of water with a mountain in the background
combined/eval/normal/r18798194t.png,there is a small body of water that is next to some trees
combined/eval/normal/1.png,there is a bookcase with books and a refrigerator in the corner
combined/eval/normal/r146771d7t.png,there is a lamp that is on a table next to a cup of coffee
combined/eval/normal/748.png,there is a swimming pool with a clock on the side of it
combined/eval/normal/r12133015t.png,there is a tree that is covered in snow next to a bench
combined/eval/normal/r068812d7t.png,there is a bird that is flying over a lake with lily pads
combined/eval/normal/r04317453t.png,there is a clock on the side of a building on a cloudy day
combined/eval/normal/r1301676dt.png,there is a bee that is sitting on a white flower
combined/eval/normal/r02354285t.png,there is a view of a bridge over a river from a hill
combined/eval/normal/r15919202t.png,there is a boat that is sitting in the water near a mountain
combined/eval/normal/r1683028at.png,there are many people that are walking in the street together
combined/eval/normal/r082626aft.png,there is a woman that is sitting inside of a small house
combined/eval/normal/r0372042dt.png,there is a statue of a man riding a horse with a cat on it
combined/eval/normal/r14289905t.png,there is a crowd of people standing inside of a building at night
combined/eval/normal/r0341853dt.png,there is a large body of water with mountains in the background
combined/eval/normal/ssci_53.JPG,there are many figurines of animals on display in a glass case
combined/eval/normal/r13837601t.png,there is a dirt field with a building in the background
combined/eval/normal/r1694427et.png,there is a statue on top of a pillar with a bird on it
combined/eval/normal/r17217693t.png,there is a train that is going down the tracks in the grass
combined/eval/normal/r05243256t.png,there is a painting on the ceiling of a large building
combined/eval/normal/r02189767t.png,some people are walking on a brick walkway between two brick walls
combined/eval/normal/r1889220ft.png,there is a piece of paper with writing on it in a box
combined/eval/normal/r097555c4t.png,there is a woman that is walking in front of a building
combined/eval/normal/r072421a1t.png,there is a close up of a bunch of pink tulips
combined/eval/normal/r1419078bt.png,there is a small white building with a wooden bench outside of it
combined/eval/normal/r0708431at.png,there are many windows in the ceiling of a large building
combined/eval/normal/r08079988t.png,there is a building that has a bunch of pipes on it
combined/eval/normal/r0287344at.png,there are many people dressed in cow costumes walking down the street
combined/eval/normal/r163967d4t.png,there is a large building with a clock on the top of it
combined/eval/normal/r0465565ct.png,there is a man that is standing on the side of a cliff
combined/eval/normal/r05839451t.png,there is a large body of water surrounded by trees in the mountains
combined/eval/normal/r072649fdt.png,there is a man holding an umbrella standing in front of a boat
combined/eval/normal/r185929e9t.png,there is a blurry photo of a forest with trees and bushes
combined/eval/normal/r097088c1t.png,there is a crowd of people walking down a street in a city
combined/eval/normal/r0905697bt.png,there is a car that is driving down the road in the mountains
combined/eval/normal/22.png,there is a stuffed animal that is sitting next to a box
combined/eval/normal/r05772356t.png,there are many people sitting on a bench in the park
combined/eval/normal/r163317d6t.png,there is a view of a mountain with a few trees on it
combined/eval/normal/r00816405t.png,there is a woman that is taking a picture by the water
combined/eval/normal/r13928401t.png,this is a picture of a ceiling that has a pattern on it
combined/eval/normal/146.png,this is an image of a closet with clothes hanging on a rail
combined/eval/normal/r02508493t.png,there is a small church in the middle of a green valley
combined/eval/normal/r116825e2t.png,there is a man and a woman that are walking up the stairs
combined/eval/normal/r00879054t.png,there is a large body of water that is next to a hill
combined/eval/normal/r11850456t.png,there is a view of a body of water from a cliff
combined/eval/normal/r170632f5t.png,there is a small boat that is going down the river
combined/eval/normal/r145215fft.png,there is a fire hydrant in the middle of a field of tall grass
combined/eval/normal/179.png,there are three tassels hanging on a wall in a row
combined/eval/normal/r01474187t.png,there is a bear that is walking through the woods in the fall
combined/eval/normal/r0703243bt.png,there is a person riding a horse on a trail in the mountains
combined/eval/normal/r02897203t.png,there are many ducks swimming in the water near the mountains
combined/eval/normal/r15885978t.png,there is a river running under a bridge in a city
combined/eval/normal/665.png,this is an image of a computer desk with a clock on it
combined/eval/normal/r13073518t.png,there is a bridge over a river with a building in the background
combined/eval/normal/r01559391t.png,sunlight shines through the trees over a path in a park
combined/eval/normal/r0809811bt.png,there is a large body of water with a mountain in the background
combined/eval/normal/23.png,there is a stuffed animal that is sitting next to a box
combined/eval/normal/r125442fat.png,there are many people walking around in front of a large building
combined/eval/normal/r1602555bt.png,there is a view of a field and trees from a stone wall
combined/eval/normal/r1904147dt.png,mountains in the distance behind a fence and a wooden gate
combined/eval/normal/r191488c6t.png,there is a train that is going over a bridge in the water
combined/eval/normal/r181768b7t.png,some people are standing around in a room with a pool table
combined/eval/normal/r16509308t.png,there is a view of a body of water at sunset from a boat
combined/eval/normal/r108301e3t.png,there is a view of a city from the top of a building
combined/eval/normal/r16654024t.png,there are many red flowers that are blooming in the garden
combined/eval/normal/r07598392t.png,there is a clock that is hanging on the wall in the room
combined/eval/normal/r142335f0t.png,there are a lot of birds that are flying around the water
combined/eval/normal/r01058910t.png,this is a picture of a sign with a picture of a city
combined/eval/normal/r00869422t.png,there is a ceiling with a painting on it in a building
combined/eval/normal/r141669e5t.png,there is a crowd of people that are standing in front of a building
combined/eval/normal/r142787e2t.png,there is a group of people that are standing in a building
combined/eval/normal/r197770adt.png,there is a bench that is sitting on the side of a mountain
combined/eval/normal/r165355c0t.png,there is a woman that is walking in the street with a suitcase
combined/eval/normal/r01170470t.png,there is a windmill that is sitting on the side of the water
combined/eval/normal/r145221d9t.png,there is a car that is parked on the side of the road
combined/eval/normal/111.png,there is a cup that has a cigarette in it on a counter
combined/eval/normal/r1824034et.png,there is a man that is standing on the side of a mountain
combined/eval/normal/r18990432t.png,there is a poster with a picture of a group of people on it
combined/eval/normal/r141665bdt.png,there are many people walking around in front of a large building
combined/eval/normal/79.png,there is a cabinet with dishes and cups in it
combined/eval/normal/r0589558at.png,there is a room with statues and a circular table in it
combined/eval/normal/r104153eat.png,there is a plane that is flying in the sky over the mountains
combined/eval/normal/r107730b5t.png,there is a crowd of people watching a soccer game on the field
combined/eval/normal/r1915909et.png,there are many people that are flying kites in the sky
combined/train/Normal/ssci_169.PNG,there is a narrow alley with a lot of signs on the buildings
combined/train/Normal/r1148801et.png,there is a street light that is on the side of a bridge
combined/train/Normal/r062b9259t.png,mountains covered in snow with trees and rocks in the foreground
combined/train/Normal/ssci_162.PNG,this is an image of a large empty building with a lot of windows
combined/train/Normal/r0676c50at.png,there is a building that has a lot of windows and balconies
combined/train/Normal/ssci_210.PNG,there is a view of a body of water with a building in the background
combined/train/Normal/641.png,several pairs of shoes are sitting on the floor under a bed
combined/train/Normal/r1a1d7e72t.png,this is an image of a large hall with a clock in it
combined/train/Normal/r1138e1aft.png,there is a very tall building with a very ornate door
combined/train/Normal/173.png,there is a shelf that has a bunch of wires on it
combined/train/Normal/r1cfc8ddat.png,there is a brown bear that is laying down in the grass
combined/train/Normal/491.png,there is a stuffed bear sitting next to other items on a table
combined/train/Normal/r10e36316t.png,there are many statues on the outside of a building
