image_path,caption
our485/high/641.png,several pairs of shoes are sitting on the floor under a bed
our485/high/173.png,there is a shelf that has a bunch of wires on it
our485/high/491.png,there is a stuffed bear sitting next to other items on a table
our485/high/718.png,there are many cars parked in a parking lot next to a building
our485/high/709.png,there is a bag sitting on a table in the kitchen
our485/high/248.png,there is a small figurine of a clown on top of a refrigerator
our485/high/94.png,there is a frying pan sitting on a stove top in a kitchen
our485/high/480.png,there is a stuffed animal sitting next to a plate of fruit and a book
our485/high/236.png,there is a clock on the wall in the kitchen of this house
our485/high/771.png,solar panels on the roof of a building in a city
our485/high/675.png,foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo
our485/high/48.png,there is a drawer full of shoes and other items in it
our485/high/677.png,there is a foosball table in the middle of a living room
our485/high/761.png,there is a blue ping pong table on wheels in a room
our485/high/655.png,there is a teddy bear that is laying on a bed
our485/high/227.png,there is a bird that is sitting on a window sill
our485/high/762.png,there is a blue ping pong table on wheels in a room
our485/high/726.png,there is a red fire hydrant sitting in the middle of the grass
our485/high/238.png,there is a clock hanging on the wall in the kitchen
our485/high/61.png,there is a blue and white vase with flowers in it
our485/high/222.png,there is a towel rack in a bathroom with a towel hanging from it
our485/high/330.png,"this is an image of a table with a stuffed animal, books, and other items"
our485/high/511.png,there is a stuffed animal that is sitting next to a backpack
our485/high/579.png,"there is a bathroom with a sink, toilet and brooms in it"
our485/high/231.png,there is a plant in a pot next to a fan on the wall
our485/high/645.png,there is a teddy bear sitting next to a pillow on a bed
our485/high/621.png,there is a shelf full of books and a plant in the corner
our485/high/35.png,brightly colored vases sit on a wooden entertainment center in front of a television
our485/high/232.png,there is a plant in a pot next to a fan on the wall
our485/high/142.png,there is a picture of a ceiling with a blue light in it
our485/high/104.png,there is a view of a kitchen through a glass door
our485/high/543.png,there are a lot of items that are sitting on a table
our485/high/737.png,there is a blue trash can sitting in front of a building
our485/high/70.png,there is a box that is sitting on top of a table
our485/high/162.png,there is a computer mouse sitting on top of a wooden desk
our485/high/517.png,there are a lot of stuff on the desk next to a backpack
our485/high/634.png,there is a backpack that is sitting on a shelf in a closet
our485/high/186.png,there is a white vanity with a mirror and a black chair
our485/high/73.png,there is a box that is sitting on top of a table
our485/high/92.png,there is a frying pan on top of a stove in a kitchen
our485/high/542.png,this is a picture of a table with a lot of things on it
our485/high/766.png,this is an image of a tennis court with blue chairs and a flag
our485/high/261.png,there is a book shelf with many different books on it
our485/high/167.png,there is a suitcase sitting on the floor next to a bookcase
our485/high/628.png,there is a closet in the corner of a room with a lot of clutter
our485/high/506.png,there are many stuffed animals sitting on a table next to a tree
our485/high/562.png,this is a picture of a construction site with a crane in the background
our485/high/681.png,there are a lot of stuffed animals on display in a store
our485/high/204.png,there is a basketball sitting on top of boxes in a room
our485/high/646.png,there is a teddy bear sitting next to a pillow on a bed
our485/high/75.png,there is a sink with a faucet and a bottle on the counter
our485/high/744.png,there is a basketball net in the middle of a basketball court
our485/high/538.png,there is a plant that is sitting on a shelf in a room
our485/high/651.png,"there is a pile of gloves, gloves and a scarf on a bed"
our485/high/89.png,there are many jars of food on the counter in the kitchen
our485/high/752.png,brightly colored flags line the edge of an indoor swimming pool
our485/high/550.png,there is a box with a notepad and a pair of headphones on it
our485/high/615.png,there is a pink suitcase sitting next to a chair in a room
our485/high/605.png,there is a picture of a sign on the door of a building
our485/high/213.png,there is a small stool in the corner of a small room
our485/high/505.png,there is a small christmas tree on a desk next to a stuffed animal
our485/high/114.png,there is a cup that has a pair of scissors in it
our485/high/185.png,there is a white vanity with a mirror and a black chair
our485/high/240.png,there is a cat that is sitting on the floor in the house
our485/high/344.png,there is a big hero in the corner of the room next to a backpack
our485/high/759.png,there is a ping pong table in the middle of the room
our485/high/176.png,there is a bed with white sheets and pillows on it in a bedroom
our485/high/660.png,there is a table with bowling balls on it and a toilet
our485/high/727.png,there is a red fire hydrant sitting in the middle of the grass
our485/high/95.png,this is an image of a drawer full of food and drinks
our485/high/97.png,there are a lot of dishes and spoons in a dish rack
our485/high/124.png,there is a refrigerator with a lot of food inside of it
our485/high/119.png,there is an open refrigerator with a lot of food in it
our485/high/654.png,there is a cat that is laying on a bed with clothes on it
our485/high/100.png,this is an image of a dishwasher with dishes in it
our485/high/211.png,there is a white dresser with a mirror and a plastic box on it
our485/high/500.png,there are many stuffed animals and toys on a table
our485/high/76.png,there is a sink with a faucet and a bottle on the counter
our485/high/193.png,this is an image of a fan in a corner of a room
our485/high/608.png,there is a book shelf with many books and a laptop on it
our485/high/191.png,this is an image of a closet with clothes hanging on it
our485/high/528.png,anime figurines are sitting on a shelf next to a box of coffee
our485/high/623.png,there is a sign on the door of a building with drawings on it
our485/high/642.png,several pairs of shoes are sitting on the floor under a bed
our485/high/138.png,there is a box of tissues on a table next to a box of tissues
our485/high/629.png,there is a purse and a pair of shoes in a closet
our485/high/225.png,there is a toilet that is in a bathroom with a toilet brush
our485/high/561.png,there is a truck that is parked in front of a building under construction
our485/high/588.png,this is an image of a washer and dryer in a laundry room
our485/high/492.png,there is a teddy bear sitting next to a bunch of grapes and books
our485/high/43.png,there is a glass cabinet with a lot of items in it
our485/high/229.png,there is a bird that is sitting on a window sill
our485/high/129.png,there is a bag of rice wrapped in plastic in a freezer
our485/high/580.png,"there is a bathroom with a sink, toilet and brooms in it"
our485/high/171.png,there is a shelf that has a bunch of wires on it
our485/high/682.png,foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo foo
our485/high/145.png,this is an image of a closet with clothes hanging on a rack
our485/high/40.png,there is a plant on top of a cabinet in a living room
our485/high/209.png,pillows stacked on top of each other on a bed in a bedroom
our485/high/575.png,there is a light that is on in the middle of a long hallway
our485/high/33.png,there is a coffee table with a glass top in a living room
our485/high/126.png,there is an open refrigerator with some food inside of it
our485/high/147.png,there is a backpack that is sitting on top of a dresser
